DEPTH 2
Puzzle : 120345678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 142305678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 120345678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312405678 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Puzzle : 312645078 | time(h1.ms): 0 | cost(h1): 3 | time(h2.ms): 0 | cost(h2): 3
Average Summary of DEPTH 2
H1| Avg Search Cost: 3.0 | Avg time: 0.0
H2| Avg Search Cost: 3.0 | Avg time: 0.01
DEPTH 4
Puzzle : 042135678 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 125304678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 7
Puzzle : 125304678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 7
Puzzle : 142358670 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312475680 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 125304678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 7
Puzzle : 142358670 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 140352678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 142635078 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 142635078 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 312605748 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 310452678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 125348670 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312645780 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312605748 | time(h1.ms): 1 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 125348670 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312605748 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 142635078 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 142635078 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 312605748 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 125304678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 7
Puzzle : 142375068 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 125304678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 7
Puzzle : 312645780 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 142635078 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 125304678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 7
Puzzle : 125304678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 7
Puzzle : 125348670 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312605748 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 142358670 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 142635078 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 125304678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 7
Puzzle : 320415678 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 042135678 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312605748 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 310452678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 140352678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 142375680 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 140352678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 1 | cost(h2): 5
Puzzle : 125348670 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312645780 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 125304678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 7
Puzzle : 125348670 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312605748 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 6
Puzzle : 042135678 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312645780 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 125348670 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 032415678 | time(h1.ms): 0 | cost(h1): 6 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 140352678 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
Puzzle : 312645780 | time(h1.ms): 0 | cost(h1): 5 | time(h2.ms): 0 | cost(h2): 5
